課程代碼,課程名稱,教師,時間,教室
ED010A,教育議題專題,楊慶麟,2-56,全人南棟415
ED040A,學校行政,林世倡,4-34,全人南棟415
ED040A,學校行政,楊慶麟,4-34,全人南棟415
ED070A,教育哲學,楊慶麟,1-56,全人南棟415
ED074A,班級經營,林世倡,3-78,全人南棟415
ED084A,輔導原理與實務,黎欣怡,1-78,全人南棟415
ED115A,性別教育,鄭慈蓉,1-CD,全人南棟415
ED116A,補救教學,楊坤原,2-34,全人南棟415
ED131A,教學媒體與應用,簡志峰,5-34,全人南棟405
ED132A,國文教學實習,簡君玲,4-CD,全人南棟618
ED133A,英文教學實習,林俊閎,2-78,全人南棟415
ED134A,數學教學實習,林世倡,3-DE,全人南棟618
ED135A,輔導教學實習,黎欣怡,3-12,全人南棟415
ED136A,生物教學實習,楊坤原,1-56,全人南棟418
ED139A,學校行政實習,林世倡,4-B,全人南棟415
ED139A,學校行政實習,楊慶麟,4-B,全人南棟415
ED140A,班級經營實踐,林世倡,3-C,全人南棟415
ED141A,補救教學實踐,黃博欽,2-B,全人南棟415
ED142A,適性教學策略與實踐,林俊閎,4-78,全人南棟415
ED150A,物理教學實習,林欣達,2-DE,全人南棟418
ED151A,資訊科技教學實習,薛秀琳,1-56,全人南棟417
GQ101A,宗教哲學,潘秋郎,1-34,教學615
GQ101B,宗教哲學,潘秋郎,1-56,教學615
GQ101C,宗教哲學,潘秋郎,1-78,教學615
GQ101D,宗教哲學,曾祖漢,1-78,教學801
GQ101E,宗教哲學,戴伶珊,4-12,教學801
GQ101F,宗教哲學,戴伶珊,4-34,教學801
GQ101G,宗教哲學,蘇信行,5-34,教學801
GQ101H,宗教哲學,康克,5-34,教學617
GQ101I,宗教哲學,馬育慧,2-78,教學109
GQ101J,宗教哲學,馬育慧,3-78,教學109
GQ101K,宗教哲學,馬育慧,5-56,教學109
GQ101L,宗教哲學,高天圓,4-CD,教學601
GQ101M,宗教哲學,陳康芬,3-CD,教學601
GQ101N,宗教哲學,錢玉舜,4-78,教學601
GQ101P,宗教哲學,吳昶興,4-56,教學109
GQ101Q,宗教哲學,吳昶興,2-56,教學601
GQ101R,宗教哲學,吳昶興,2-78,教學601
GQ101S,宗教哲學,康克,5-12,教學617
GQ101T,宗教哲學,林顯泉,5-12,教學601
GQ101U,宗教哲學,林顯泉,5-34,教學601
GQ101V,宗教哲學,林顯泉,5-56,教學601
GQ101X,宗教哲學,李信毅,2-78,懷恩205
GQ101Y,宗教哲學,鄭偉光,3-56,教學601
GQ101Z,宗教哲學,鄭偉光,3-78,教學601
GQ201A,人生哲學,趙念慈,3-12,教學302
GQ201B,人生哲學,趙念慈,3-56,教學302
GQ201D,人生哲學,邱冠喬,2-12,教學801
GQ201E,人生哲學,劉佩琳,1-EF,教學602
GQ201F,人生哲學,劉佩琳,3-EF,教學602
GQ201G,人生哲學,王學晟,2-56,教學801
GQ201H,人生哲學,王學晟,2-78,教學801
GQ201I,人生哲學,韓邦福,2-34,教學601
GQ201J,人生哲學,韓邦福,2-12,教學601
GQ201K,人生哲學,高淑芬,5-78,教學801
GQ201L,人生哲學,高淑芬,5-56,教學801
GQ201M,人生哲學,張孝慧,3-12,教學801
GQ201N,人生哲學,洪政裕,4-56,教學801
GQ201O,人生哲學, ,5-78,教學601
GQ201P,人生哲學,康克,1-12,教學109
GQ201R,人生哲學,洪政裕,5-34,科學103
GQ201S,人生哲學, ,5-CD,教學601
GQ201T,人生哲學,陳至信,5-34,教學308
GQ201U,人生哲學,黃介文,5-34,教學109
GQ201V,人生哲學,楊坤原,4-34,教學601
GQ201W,人生哲學,楊坤原,4-56,教學601
GQ201X,人生哲學,羅月美,1-CD,教學801
GQ201Y,人生哲學,羅月美,2-CD,教學801
GQ201Z,人生哲學,蘇信行,4-EF,教學312
GQ201a,人生哲學,李世堅,2-DE,教學601
GQ201b,人生哲學,李世堅,2-FG,教學601
GQ392A,台灣政治與民主,許恒禎,1-78,教學818
GQ392B,台灣政治與民主,許恒禎,3-78,教學615
GQ392C,台灣政治與民主,曾志隆,4-56,教學302
GQ392D,台灣政治與民主,曾志隆,4-78,教學302
GQ392E,台灣政治與民主,魏澤民,,
GQ392F,台灣政治與民主,魏澤民,,
GQ393A,法律與現代生活,張藏文,1-78,
GQ393B,法律與現代生活,張藏文,1-CD,
GQ393C,法律與現代生活,葉斯偉,4-56,教學112
GQ393D,法律與現代生活,葉斯偉,4-78,教學112
GQ393E,法律與現代生活,陳進郁,4-56,科學B04
GQ393F,法律與現代生活,陳進郁,4-78,科學B04
GQ393G,法律與現代生活,邱瑞朝,1-8C,教學608
GQ393H,法律與現代生活,邱瑞朝,1-DE,教學608
GQ393I,法律與現代生活,陳衍華,5-56,資管103
GQ394A,當代人權議題與挑戰,施少棠,2-78,教學105
GQ394B,當代人權議題與挑戰,施少棠,2-CD,教學105
GQ394C,當代人權議題與挑戰,彭鳳貞,5-78,工學115
GQ394D,當代人權議題與挑戰,彭鳳貞,5-CD,工學115
GQ395A,生活社會學,何彩滿,2-34,教學618
GQ395B,生活社會學,何彩滿,2-78,教學618
GQ395C,生活社會學,黃國清,2-34,懷恩204
GQ395D,生活社會學,黃國清,2-56,教學615
GQ396A,全球化大議題,何彩滿,1-78,教學618
GQ396B,全球化大議題,沈豪挺,1-CD,
GQ396C,全球化大議題,林能山,2-34,教學615
GQ396D,全球化大議題,林能山,2-56,教學505
GQ397A,經濟學的世界,姜樹翰,1-12,
GQ397B,經濟學的世界,姜樹翰,1-34,
GQ456A,區域文明史,陳仲志,,
GQ456B,區域文明史,陳仲志,,
GQ456C,區域文明史,陳仲志,,
GQ456D,區域文明史,王瑞傑,2-78,教學615
GQ456E,區域文明史,王瑞傑,2-CD,教學615
GQ456F,區域文明史,游智勝,5-56,教學302
GQ456G,區域文明史,游智勝,5-78,教學302
GQ456H,區域文明史,楊凡逸,1-78,教學302
GQ456I,區域文明史,楊凡逸,1-CD,教學302
GQ456J,區域文明史,吳佳融,1-12,教學302
GQ456K,區域文明史,吳佳融,1-34,教學302
GQ456L,區域文明史,孫欲容,4-56,懷恩205
GQ456M,區域文明史,孫欲容,4-78,懷恩205
GQ457A,文化思想史,談士榮,,
GQ457B,文化思想史,談士榮,,
GQ457C,文化思想史,談士榮,,
GQ457D,文化思想史,劉明憲,3-CD,教學615
GQ457E,文化思想史,柯惠鈴,2-56,教學708
GQ457F,文化思想史,張志強,5-56,管理102
GQ457G,文化思想史,張志強,5-78,管理102
GQ457H,文化思想史,鄭巧君,2-CD,教學302
GQ457I,文化思想史,王信杰,2-56,懷恩105
GQ457J,文化思想史,王信杰,2-78,懷恩105
GQ457K,文化思想史,林峻煒,3-8C,教學612
GQ457L,文化思想史,林峻煒,3-DE,教學612
GQ457M,文化思想史,陳奕亨,4-56,教學615
GQ457N,文化思想史,陳奕亨,4-78,教學615
GQ801A,語文與修辭,林麗裡,3-CD,教學310
GQ801B,語文與修辭,陳冠勳,4-CD,教學618
GE001A,通識教育自主學習(一), ,,
GE002A,通識教育自主學習(二), ,,
GE003A,西洋弦樂器演奏賞析,簡山根,2-34,風雅頌
GE004A,浪漫時期音樂賞析,簡山根,2-56,風雅頌
GE005A,西洋兒童文學名著選讀,陳康芬,3-56,懷恩106
GE011A,藝術說桃園,魏立心,3-78C,教學409
GE012A,說桃園,魏立心,3-C,教學409
GE013A,桃花源尋寶,葉俊麟,3-78C,教學610
GE014A,走讀桃花源,葉俊麟,3-C,
GE015A,動漫文學,周文鵬,3-78,科學B04
GE015B,動漫文學,周文鵬,5-34,教學818
GE017A,布袋戲與台灣文化,賴皆興,2-12,教學818
GE017B,布袋戲與台灣文化,賴皆興,2-34,教學818
GE019A,馬華文學,邱彩韻,5-34,教學605
GE027A,流行音樂詞曲賞析,樓南蔚,1-56,教學818
GE028A,英語經典小說悅讀,林慧茹,4-34,教學608
GE038A,職場情緒軟功夫,蔡秀玲,1-CD,
GE040A,閱讀音樂,林少英,4-56,教學818
GE050A,音樂素養與社群服務,簡山根,1-234,風雅頌
GE055A,詩歌與社會,張孝慧,2-56,教學818
GE057A,設計人生與管理學習,簡志峰,1-34,教學409
GE060A,客家文學與電影,陳雅湞,3-56,教學112
GE061A,電影與音樂視覺藝術,陳雅湞,1-34,教學109
GE061B,電影與音樂視覺藝術,陳雅湞,1-56,教學109
GE065A,音樂與影劇賞析,陳雅湞,2-34,教學112
GE065B,音樂與影劇賞析,陳雅湞,2-56,教學112
GE068A,桌遊設計與人際溝通,鄭詩萍,4-12,教學405A
GE068B,桌遊設計與人際溝通,鄭詩萍,4-34,教學405A
GE095A,英國生活與文化,鄭詩萍,5-12,教學402
GE095B,英國生活與文化,鄭詩萍,5-34,教學402
GE098A,台語詩與歌,羅明芳,5-234,風雅頌
GE099A,聽見台灣讓歌聲飛翔,羅明芳,5-4,風雅頌
GE100A,楚漢相爭之職場競爭力,曾陽晴,3-78,教學812
GE101A,臺灣文化資產賞析,曾德宜,5-56,工學304
GE107A,國際現勢,曾蘭淑,2-EF,教學618
GE113A,桃學趣,何彩滿,3-78C,教學618
GE114A,桃學趣探索,何彩滿,3-C,教學618
GE116A,教育倫理,李佳馨,5-56,全人南棟202
GE116A,教育倫理,呂淳鈺,5-56,全人南棟202
GE116B,教育倫理,許婷婷,1-34,教學401
GE116B,教育倫理,張彣卉,1-34,教學401
GE116B,教育倫理,羅月美,1-34,教學401
GE116C,教育倫理,李佳馨,1-CD,全人南棟201
GE116C,教育倫理,曾淑賢,1-CD,全人南棟201
GE120A,社團學習與領導,陳民樺,1-78,活動203
GE126A,國際事務,林楚淇,3-78,教學302
GE126B,國際事務,林楚淇,3-CD,教學302
GE132A,全球化與台灣發展,賴皆興,5-12,教學302
GE132B,全球化與台灣發展,賴皆興,5-34,教學302
GE134A,北極生態與地緣政治的變化,閻亢宗,4-12,教學302
GE134B,北極生態與地緣政治的變化,閻亢宗,4-34,教學302
GE136A,人類安全與永續發展,朱蓓蕾,2-56,教學812
GE136B,人類安全與永續發展,朱蓓蕾,2-78,教學812
GE137A,聯合國永續發展目標概論,林楚淇,3-EF,教學302
GE138A,永續發展與社會進步,沈豪挺,1-78,
GE139A,永續發展與能源經濟,胡敏遠,1-56,教學815
GE139B,永續發展與能源經濟,胡敏遠,1-78,教學815
GE140A,孫子兵法研究,劉德良,5-34,教學401
GE141A,歐盟的文化建構與社會平等政策,林楚淇,5-34,教學317
GE144A,職場溝通微功夫,鄭憲永,2-56,教學409
GE146A,桃園原民文化探究,簡山根,4-34,風雅頌
GE147A,桃園老街區的故事,鄭詩萍,2-56,科學B06
GE148A,跨文化國際合作,林能山,2-78,教學505
GE149A,社會與健康平等,黃丰姿,3-78,懷恩204
GE150A,數位人文鍊金術,石栢岡,4-12,教學705
GE150A,數位人文鍊金術,周文鵬,4-12,教學705
GE150A,數位人文鍊金術,柯惠鈴,4-12,教學705
GE226A,生命教育概論,江蘭貞,3-56,教學815
GE226B,生命教育概論,江蘭貞,3-78,教學815
GE226C,生命教育概論,江蘭貞,4-56,教學812
GE234A,宗教音樂賞析,孫自弘,1-12,教學412
GE234B,宗教音樂賞析,孫自弘,1-34,教學412
GE245A,聖經生命美學,涂世雄,1-56,教學302
GE246A,哲學概論,程進發,3-78,工學308
GE246B,哲學概論,鄭琬馨,2-56,教學815
GE248A,價值判斷與分析,蘇友瑞,2-56,懷恩206
GE248B,價值判斷與分析,蘇友瑞,2-78,懷恩206
GE248C,價值判斷與分析,蘇友瑞,3-78,教學617
GE248D,價值判斷與分析,蘇友瑞,4-56,工學309
GE248E,價值判斷與分析,蘇友瑞,4-78,工學309
GE260A,聖經中的人際觀,廖宣怡,2-56,教學302
GE263A,哲學與生活,錢玉舜,4-34,教學615
GE263B,哲學與生活,錢玉舜,4-56,資管103
GE265A,當代倫理論辯,羅月美,1-78,教學810
GE269A,生命倫理學,陳志杰,2-56,懷恩204
GE269B,生命倫理學,陳志杰,2-78,懷恩204
GE278A,哲學與思考,黃信二,,
GE280A,倫理與現代生活,黃信二,,
GE280B,倫理與現代生活,黃信二,,
GE286A,中西哲學家的生命觀,劉毅鳴,3-56,懷恩201
GE286B,中西哲學家的生命觀,劉毅鳴,3-78,懷恩201
GE291A,生命敘事倫理,廖宣怡,2-78,教學302
GE293A,哲學與人生,李佳馨,2-78,教學510
GE293B,哲學與人生,李佳馨,2-CD,教學510
GE299A,思辨與實用邏輯,杜迺翔,,
GE299B,思辨與實用邏輯,杜迺翔,,
GE300A,哲學與現代思潮,吳旭時,5-12,教學615
GE300B,哲學與現代思潮,吳旭時,5-34,教學615
GE305A,聖經與生命敘事,曾祖漢,1-34,工學310
GE305B,聖經與生命敘事,曾祖漢,1-56,教學801
GE307A,音樂美學與思辯,鄭琬馨,2-78,教學815
GE308A,生命韌性與幸福,蔡秀玲,5-78,教學308
GE309A,人工智慧與哲學,鄭俊憲,2-34,懷恩201
GE309B,人工智慧與哲學,鄭俊憲,2-56,懷恩203
GE310A,生活中的倫理思辨,林彥廷,4-12,教學818
GE310B,生活中的倫理思辨,林彥廷,4-34,教學818
GE400A,婚姻與家庭,葉安華,2-34,教學305B
GE440A,日本語言與文化,陳岐理,5-78,全人南棟303
GE450A,環境倫理,程進發,3-CD,工學308
GE454A,設計倫理,朱世人,1-78,資管103
GE454A,設計倫理,李佳馨,1-78,資管103
GE454B,設計倫理,葉俊麟,1-34,工學315
GE454B,設計倫理,杜迺翔,1-34,工學315
GE454B,設計倫理,張雯怡,1-34,工學315
GE457A,工程與法律,周天昇,1-CD,教學417
GE462A,認識智慧財產權,張毅超,2-34,科學B04
GE477A,法律倫理,李佳馨,5-34,教學105
GE477A,法律倫理,邱冠喬,5-34,教學105
GE481A,科學與倫理,鄭琬馨,3-56,科學B04
GE481A,科學與倫理,邱國斌,3-56,科學B04
GE481B,科學與倫理,邱國斌,1-56,科學B04
GE481B,科學與倫理,鄭琬馨,1-56,科學B04
GE481C,科學與倫理,王宏文,2-56,科學103
GE481C,科學與倫理,陳欣聰,2-56,科學103
GE481C,科學與倫理,李佳馨,2-56,科學103
GE481D,科學與倫理,金亭佑,3-78,科學103
GE481D,科學與倫理,鄭琬馨,3-78,科學103
GE484A,愛情關係管理,曾陽晴,1-34,教學112
GE484B,愛情關係管理,曾陽晴,1-78,教學112
GE484C,愛情關係管理,曾陽晴,4-34,教學112
GE486A,數位傳播與文化,黃葳威,3-CD,教學401
GE488A,工程倫理,彭翊鈞,1-56,莊敬105
GE488A,工程倫理,羅月美,1-56,莊敬105
GE488B,工程倫理,涂世雄,5-56,教學615
GE488B,工程倫理,林彥廷,5-56,教學615
GE488C,工程倫理,林彥廷,5-34,工學117
GE488C,工程倫理,王明誠,5-34,工學117
GE488D,工程倫理,陳聖博,5-56,商學302
GE488D,工程倫理,林彥廷,5-56,商學302
GE490A,性別平等與現代社會,彭鳳貞,5-56,工學115
GE495A,東南亞社會與文化,邱彩韻,5-56,土木201
GE498A,國際現勢與兩岸關係,潘兆民,4-78,教學401
GE498B,國際現勢與兩岸關係,潘兆民,4-CD,教學401
GE516A,全球文化講座,李英明,3-78,教學818
GE516A,全球文化講座,許世哲,3-78,教學818
GE517A,企業倫理,陳蓁逸,4-12,教學512
GE517A,企業倫理,丁姵元,4-12,教學512
GE517A,企業倫理,廖宣怡,4-12,教學512
GE517B,企業倫理,丁姵元,4-34,教學512
GE517B,企業倫理,陳蓁逸,4-34,教學512
GE517B,企業倫理,廖宣怡,4-34,教學512
GE517C,企業倫理,羅月美,2-34,教學105
GE517C,企業倫理,郭怡君,2-34,教學105
GE517D,企業倫理,黃美珠,1-34,科學B04
GE517D,企業倫理,廖宣怡,1-34,科學B04
GE517E,企業倫理,卓綵倫,5-56,教學105
GE517E,企業倫理,杜迺翔,5-56,教學105
GE517F,企業倫理,杜迺翔,3-56,教學610
GE517F,企業倫理,陳若暉,3-56,教學610
GE518A,法學緒論,陳進郁,4-DE,教學310
GE527A,服務學習導論,杜哲怡,7-34,教學201
GE528A,原生文化與永續發展,尤天鳴,4-34,懷恩101
GE534A,行政法與公共事務,葉斯偉,4-CD,教學112
GE535A,政治學與當代生活,曾志隆,2-CD,教學301
GE536A,科技創新與國際安全,黄昭萍,3-CD,教學301
GE607A,時空簡史,高崇文,3-56,科學103
GE608A,生活化學應用,任修平,5-34,教學112
GE623A,環境與幸福生活,任修平,5-56,教學112
GE625A,數位編曲聲音設計,許哲綸,2-12,全人南棟309
GE626A,數位聲音後製概論,許哲綸,2-34,全人南棟309
GE627A,進階錄音技術, ,1-78,圖書101C
GE629A,美食的真相,招名威,2-CD,教學308
GE631A,認識星空,孫維新,3-78,商講堂
GE632A,綠色生活與永續環境,林裕豐,1-78,教學109
GE637A,防災科技與生活,朱容練,2-12,教學302
GE637B,防災科技與生活,朱容練,2-34,教學302
GE638A,超級英雄的物理學,許經夌,1-CD,教學408
GE639A,生活中的預防醫學,鍾憲輝,5-56,科學B04
GE639B,生活中的預防醫學,鍾憲輝,5-78,科學B04
GE644A,生態工程與生活,石栢岡,1-56,教學409
GE644B,生態工程與生活,石栢岡,1-34,教學408
GE648A,進階創意思解,廖慶榮,,
GE659A,創意思解,廖慶榮,,
GE678A,生物學概論,郭秋媚,3-56,教學818
GE679A,生命科學概論,詹文雄,3-CD,教學505
GE682A,基因與疾病,林淑容,3-CD,教學602
GE731A,環境藝術,魏立心,4-78C,教學409
GE736A,生醫材料解密,陳民樺,3-C,
GE739A,鑑識科學的奧妙,任修平,5-12,教學112
GE740A,環境永續樂桃桃,石栢岡,3-78C,教學305B
GE741A,環境樂桃桃,石栢岡,3-C,教學305B
GE757A,創意創新創業專題,黃朝信,3-78,教學408
GE766A,基礎錄音技術, ,1-56,圖書101C
GE776A,認識大數據,李孟哲,5-12,教學812
GE776B,認識大數據,李孟哲,5-34,教學812
GE780A,飲食與生醫保健,蘇正元,,
GE783A,永續發展與環境保護,王怡心,,
GE783B,永續發展與環境保護,王怡心,,
GE784A,從廣播到Podcast,李維國,4-34,教學819
GE785A,成音概論,李維國,4-78,教學819
GE786A,數位人文概論,涂芸芳,4-34,教學405B
GE786A,數位人文概論,陳昭珍,4-34,教學405B
GE786A,數位人文概論,黃琇苓,4-34,教學405B
GE786A,數位人文概論,張陳基,4-34,教學405B
GE787A,生活科技與永續,蘇金豆,5-EF,
GE788A,探索永續宇宙,黃麗錦,5-78,教學510
GE788B,探索永續宇宙,黃麗錦,5-CD,教學510
GE795A,生命中的物理法則,袁珮閎,1-78,教學409
GE795B,生命中的物理法則,袁珮閎,1-CD,教學409
GE797A,科技革命與創新思維,李承宇,4-78,教學408
GE798A,半導體產業與智慧生活, ,4-34,教學810
GE817A,歌唱技巧入門,王秀瑜,1-34,教學812
GE822A,美學概論,羅月美,3-CD,教學312
GE831A,古典電影配樂賞析,盧書音,1-56,風雅頌
GE850A,壓力管理,郭晏汝,,
GE869A,個人健康管理,黃丰姿,5-56,教學818
GE869B,個人健康管理,黃丰姿,5-78,教學818
GE874A,中文經典閱讀,向鴻全,4-34,教學812
GE892A,茶文化與文學,廖建智,5-78,教學615
GE892B,茶文化與文學,廖建智,5-CD,教學615
GE893A,音樂的構成,陳文婉,2-56,圖書101
GE895A,飲食自覺與營養管理,洪泰雄,2-78,教學112
GE898A,溝通與口語創意表達,黃介文,5-56,教學812
GE898B,溝通與口語創意表達,黃介文,5-78,教學812
GE899A,數位音樂名師專題,陳文婉,1-CD,風雅頌
GE936A,工藝與生活美學,蔡雅蕙,1-78,教學812
GE936B,工藝與生活美學,蔡雅蕙,1-CD,教學812
GE937A,管弦樂作品鑑賞,張浩,2-78,
GE938A,音樂中的歐洲人文,翁立美,5-CD,
GE939A,音樂創意企劃製作, ,1-78,懷恩206
GE940A,音樂創作新思維,林少英,4-78,教學818
GE944A,黃春明小說導讀,陳康芬,4-78,教學412
GE945A,原住民藝術與當代對話,尤天鳴,3-56,教學615
GE946A,心理健康與調適,江捷如,5-34,教學508
GE947A,爵士樂賞析,楊曉恩,,
GE985A,音樂基礎訓練,陳文婉,1-34,教學818
GE001R,通識教育自主學習(一), ,,
GE002R,通識教育自主學習(二), ,,
GE015S,動漫文學,周文鵬,5-34,教學818
GE027R,流行音樂詞曲賞析,樓南蔚,1-56,教學818
GE033R,研究生生涯探索,曾陽晴,,
GE038R,職場情緒軟功夫,蔡秀玲,1-CD,
GE055S,詩歌與社會,張孝慧,2-56,教學818
GE095R,英國生活與文化,鄭詩萍,5-12,教學402
GE095S,英國生活與文化,鄭詩萍,5-34,教學402
GE098R,台語詩與歌,羅明芳,5-234,風雅頌
GE099R,聽見台灣讓歌聲飛翔,羅明芳,5-4,風雅頌
GE126R,國際事務,林楚淇,3-78,教學302
GE126S,國際事務,林楚淇,3-CD,教學302
GE134R,北極生態與地緣政治的變化,閻亢宗,4-12,教學302
GE138R,永續發展與社會進步,沈豪挺,1-78,
GE140R,孫子兵法研究,劉德良,5-34,教學401
GE144R,職場溝通微功夫,鄭憲永,2-56,教學409
GE226R,生命教育概論,江蘭貞,4-56,教學812
GE260R,聖經中的人際觀,廖宣怡,2-56,教學302
GE278R,哲學與思考,黃信二,,
GE300R,哲學與現代思潮,吳旭時,5-12,教學615
GE305R,聖經與生命敘事,曾祖漢,1-34,工學310
GE305S,聖經與生命敘事,曾祖漢,1-56,教學801
GE400R,婚姻與家庭,葉安華,2-34,教學305B
GE462R,認識智慧財產權,張毅超,2-34,科學B04
GE516R,全球文化講座,許世哲,3-78,教學818
GE516R,全球文化講座,李英明,3-78,教學818
GE607R,時空簡史,高崇文,3-56,科學103
GE627R,進階錄音技術, ,1-78,圖書101C
GE629R,美食的真相,招名威,2-CD,教學308
GE631R,認識星空,孫維新,3-78,商講堂
GE639R,生活中的預防醫學,鍾憲輝,5-56,科學B04
GE639S,生活中的預防醫學,鍾憲輝,5-78,科學B04
GE648R,進階創意思解,廖慶榮,,
GE739R,鑑識科學的奧妙,任修平,5-12,教學112
GE766R,基礎錄音技術, ,1-56,圖書101C
GE783R,永續發展與環境保護,王怡心,,
GE784R,從廣播到Podcast,李維國,4-34,教學819
GE785R,成音概論,李維國,4-78,教學819
GE817R,歌唱技巧入門,王秀瑜,1-34,教學812
GE822R,美學概論,羅月美,3-CD,教學312
GE899R,數位音樂名師專題,陳文婉,1-CD,風雅頌
GE936R,工藝與生活美學,蔡雅蕙,1-78,教學812
GE936S,工藝與生活美學,蔡雅蕙,1-CD,教學812
GE937R,管弦樂作品鑑賞,張浩,2-78,
GE939R,音樂創意企劃製作, ,1-78,懷恩206
GE947R,爵士樂賞析,楊曉恩,,
GE985R,音樂基礎訓練,陳文婉,1-34,教學818
GQ001R,宗教哲學,李信毅,2-78,懷恩205
GQ002R,宗教哲學,吳昶興,4-56,教學109
GQ003R,宗教哲學,康克,5-12,教學617
GQ004R,人生哲學,康克,1-12,教學109
GQ005R,人生哲學,羅月美,2-CD,教學801
GQ006R,人生哲學,王學晟,2-56,教學801
GQ393R,法律與現代生活,張藏文,1-78,
GQ396R,全球化大議題,林能山,2-56,教學505
GQ456R,區域文明史,陳仲志,,
GQ457R,文化思想史,談士榮,,
GR068A,游泳(男.女.),詹正豐,3-56,體泳池
GR068B,游泳(男.女.),詹正豐,3-78,體泳池
GR068C,游泳(男.女.),許富菁,4-56,體泳池
GR068C,游泳(男.女.),詹正豐,4-56,體泳池
GR069A,匹克球,張世聰,4-56,體副館
GR069B,匹克球,張世聰,4-78,體副館
GR069C,匹克球,簡敏惠,2-56,體羽球
GR069D,匹克球,簡敏惠,2-78,體羽球
GR074A,籃球(女)一,陳建廷,1-78,體外籃A
GR074B,籃球(女)一,詹益城,2-12,體外籃D
GR074C,籃球(女)一,詹益城,2-34,體外籃D
GR074D,籃球(女)一,詹益城,5-12,體外籃D
GR074E,籃球(女)一,詹益城,5-34,體外籃D
GR076A,桌球(女)一,張世聰,3-78,體桌球
GR077A,足球,洪信華,1-12,體操場
GR077B,足球,洪信華,1-34,體操場
GR077C,足球,洪信華,4-12,體操場
GR077D,足球,洪信華,4-34,體操場
GR091A,有氧舞蹈 (男.女)一,黃千瑜,5-56,體韻律
GR091B,有氧舞蹈 (男.女)一,黃千瑜,5-78,體韻律
GR099A,氣排球,陳克舟,1-34,體副館
GR099B,氣排球,孔建嘉,3-12,體副館
GR108A,田徑(男.女)一下,林國全,3-CD,
GR174A,籃球(男)一,蔣懷孝,1-34,體外籃D
GR174B,籃球(男)一,蔣懷孝,1-78,體外籃D
GR174C,籃球(男)一,蔣懷孝,2-56,體外籃D
GR174D,籃球(男)一,蔣懷孝,2-78,體外籃D
GR174E,籃球(男)一,蔣懷孝,4-34,體外籃D
GR174F,籃球(男)一,蔣懷孝,4-78,體外籃D
GR174G,籃球(男)一,劉揚,5-56,體外籃D
GR174H,籃球(男)一,劉揚,5-78,體外籃D
GR179A,壘球(男)一,蔡宗憲,4-56,體操場
GR179B,壘球(男)一,蔡宗憲,4-78,體操場
GR179C,壘球(男)一,蔡宗憲,5-56,體操場
GR179D,壘球(男)一,蔡宗憲,5-78,體操場
GR183A,羽球(男.女)一,蘇榮立,1-12,體羽球
GR183B,羽球(男.女)一,蘇榮立,1-34,體羽球
GR183C,羽球(男.女)一,林國全,1-56,體羽球
GR183D,羽球(男.女)一,林國全,1-78,體羽球
GR183E,羽球(男.女)一,蘇榮立,2-12,體羽球
GR183F,羽球(男.女)一,蘇榮立,2-34,體羽球
GR183G,羽球(男.女)一,蘇榮立,3-12,體羽球
GR183H,羽球(男.女)一,蘇榮立,4-12,體羽球
GR183I,羽球(男.女)一,王郁彣,4-56,體羽球
GR183J,羽球(男.女)一,王郁彣,4-78,體羽球
GR183K,羽球(男.女)一,邱憲祥,5-12,體羽球
GR183L,羽球(男.女)一,邱憲祥,5-34,體羽球
GR183M,羽球(男.女)一,陳正如,5-56,體羽球
GR183N,羽球(男.女)一,陳正如,5-78,體羽球
GR184A,桌球(男.女)一,林國全,1-34,體桌球
GR184B,桌球(男.女)一,陳正如,1-56,體桌球
GR184C,桌球(男.女)一,陳正如,1-78,體桌球
GR184D,桌球(男.女)一,簡敏惠,2-12,體桌球
GR184E,桌球(男.女)一,簡敏惠,2-34,體桌球
GR184F,桌球(男.女)一,林建豪,2-56,體桌球
GR184G,桌球(男.女)一,林建豪,1-12,體桌球
GR184H,桌球(男.女)一,林建豪,3-12,體桌球
GR184I,桌球(男.女)一,廖興洲,4-12,體桌球
GR184J,桌球(男.女)一,廖興洲,4-34,體桌球
GR184K,桌球(男.女)一,陳仕杰,4-56,體桌球
GR184L,桌球(男.女)一,陳仕杰,4-78,體桌球
GR184M,桌球(男.女)一,詹富鈞,5-12,體桌球
GR184N,桌球(男.女)一,詹富鈞,5-34,體桌球
GR184O,桌球(男.女)一,陳仕杰,5-56,體桌球
GR184P,桌球(男.女)一,陳仕杰,5-78,體桌球
GR187A,高爾夫(男.女)一,蘇榮立,1-56,
GR187B,高爾夫(男.女)一,馬家嵋,2-12,
GR187C,高爾夫(男.女)一,馬家嵋,2-34,
GR187D,高爾夫(男.女)一,林國威,3-56,
GR187E,高爾夫(男.女)一,林國威,3-78,
GR187F,高爾夫(男.女)一,風貞豪,4-56,
GR187G,高爾夫(男.女)一,風貞豪,4-78,
GR187H,高爾夫(男.女)一,洪祥洲,5-34,
GR187I,高爾夫(男.女)一,洪祥洲,5-56,
GR187J,高爾夫(男.女)一,洪祥洲,5-78,
GR191A,木球 (男.女) 一,盧志明,5-12,體操場
GR191B,木球 (男.女) 一,盧志明,5-34,體操場
GR193A,田徑(男.女)二下,林國全,3-CD,
GR302A,肌力與體能訓練,翁明嘉,2-34,體適能中心
GR302B,肌力與體能訓練,翁明嘉,2-56,體適能中心
GR303A,壘球,詹富鈞,2-12,體操場
GR303B,壘球,詹富鈞,2-34,體操場
